respondent_id,submitted,Tutorial Class,Degree,Programming Experience,Experience in Python,Used Jupyter Notebooks,Other Programming Languages Competency,SQL Competency,Relational Databases Competency
1,2019-03-07 13:00:38 UTC,DATA2901 F08A,"Bachelor of Advanced Computing, 2nd year",1,Competent Python programmer (familiar with eg. functions and classes),No,Java,"Heard of it, but never used it.",
2,2019-03-07 12:17:46 UTC,Friday morning 10 p.m - 12 p.m madsen Computer Lab 226,Computational Data Science Year 2,2,Written some simple Python programs,No,Java,"Heard of it, but never used it.",Sybase
3,2019-03-07 12:10:23 UTC,F08A,Bachelor of Science/Bachelor of Advanced Studies,0.5,Written some simple Python programs,No,"Matlab,R,Other (answer below in comment)","Heard of it, but never used it.",Other (answer as comment below)
4,2019-03-07 11:53:17 UTC,F10A,,1,Basic understanding,Yes,"C++,Java",Can interpret some SQL statements.,PostgreSQL
5,2019-03-07 11:34:44 UTC,SIT Lab 114,Bachelor of Science,2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,Javascript/ECMAScript,R","Heard of it, but never used it.",Microsoft Access
6,2019-03-07 11:28:21 UTC,Friday 10 to 12,Bachelor of Science and Bachelor of Advanced Studies. Second year.,1,Written some simple Python programs,Yes,R,"Heard of it, but never used it.",
7,2019-03-07 10:56:09 UTC,on Friday,,0.5,Written some simple Python programs,Yes,,Written some SQL queries already.,SQLite
8,2019-03-07 10:53:01 UTC,2~4 pm Friday,"computer science, third year",2,Written some simple Python programs,No,Java,Can interpret some SQL statements.,MySQL
9,2019-03-07 10:13:11 UTC,Friday 10:00 AM SIT Lab 115,Bachelor of Science Second Year,2,Competent Python programmer (familiar with eg. functions and classes),Yes,"C,Java,R,Visual Basic",Written some SQL queries already.,"Microsoft Access,MySQL"
10,2019-03-07 09:53:24 UTC,Friday 8:00am,Bachelor of Science - 2nd year,1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Matlab,R","Heard of it, but never used it.",
11,2019-03-07 09:41:25 UTC,at 8am on Friday.,financial math,0.5,Written some simple Python programs,Yes,C++,Never heard of SQL.,Microsoft Access
12,2019-03-07 09:17:07 UTC,10 am adv,BSc/BAdvStudies,1,Competent Python programmer (familiar with eg. functions and classes),Yes,R,"Heard of it, but never used it.",
13,2019-03-07 09:14:00 UTC,DATA2001,"Computer Science, 2nd year",1,None,No,"C,Java",Never heard of SQL.,"Microsoft Access,Oracle"
14,2019-03-07 08:12:18 UTC,F12B,B Engineering Honours/B Science 2nd Year,0,Written some simple Python programs,No,R,Can interpret some SQL statements.,
15,2019-03-07 07:35:57 UTC,F10A,Bachelor of Science,1,Written some simple Python programs,Yes,Java,Written some SQL queries already.,PostgreSQL
16,2019-03-07 06:00:43 UTC,Friday 12-2,Bachelor of Science 2nd year,3,Competent Python programmer (familiar with eg. functions and classes),Yes,C,"Heard of it, but never used it.",SQLite
17,2019-03-07 05:49:14 UTC,SIT LAB 114 (Friday 12-2pm),Bachelor of Advanced Computing,3,Written some simple Python programs,No,"C#,Java,R","Heard of it, but never used it.",Microsoft Access
18,2019-03-07 05:16:45 UTC,"Friday 12-2 pm, Madsen Computer Lab 226",B Science major in Information Systems and minor in Data Science,1,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R",Can interpret some SQL statements.,
19,2019-03-07 04:57:27 UTC,DATA2001,Computer Science,4,Written some simple Python programs,No,"C++,C#,Java,Matlab,R",Can interpret some SQL statements.,MySQL
20,2019-03-07 04:26:30 UTC,F10A,Bachelor of Science/Bachelor of Advanced Studies (Advanced),0.5,Written some simple Python programs,Yes,R,"Heard of it, but never used it.",Microsoft Access
21,2019-03-07 04:00:57 UTC,Moday 10am madsen,Advanced Computing 2,1,Written some simple Python programs,No,Java,Never heard of SQL.,
22,2019-03-07 03:24:33 UTC,F10B,Bachelor of Science,1,Competent Python programmer (familiar with eg. functions and classes),Yes,R,"Heard of it, but never used it.",
23,2019-03-07 03:01:35 UTC,"Friday, 12pm","Bachelor of Advanced Computing, 2nd Year",2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,Matlab,R",Can interpret some SQL statements.,"Microsoft Access,SQLite"
24,2019-03-07 02:24:03 UTC,"Madsen computer lab 226, 12-2 PM","Bachelor of Science, 2nd year",0.5,Written some simple Python programs,Yes,Java,"Heard of it, but never used it.",
25,2019-03-07 02:11:54 UTC,SIT LAB 130A,BCST Year 3,2,Written some simple Python programs,Yes,"C,Java,R",Written some SQL queries already.,PostgreSQL
